sample_id,x,y,z,wind_x,wind_y,wind_z
0,9.2805338,4.8499999,0.025,0.49183899,-0.436903,3.3796299999999997e-18
1,3.8249999,5.4774259,0.025,0.113717,0.308855,7.4226697e-18
2,8.0567745,0.18040875,0.025,-0.86111301,-0.081011802,-5.2735399e-18
3,8.8908224,4.7750001,0.025,0.579799,0.0314942,-2.5526598999999998e-18
4,9.0928945,1.925,0.025,0.82623202,-0.40880001,1.7638e-17
5,9.3527021,4.4749999,0.025,0.199517,-0.70449799,4.8065298e-18
6,0.14831556,4.1356983,0.025,1.99954,-0.000105073,1.8413099999999997e-18
7,9.5272458,0.076231521,0.025,-0.28070301,-0.0122434,-2.37061e-17
8,2.8249725,4.9001009,0.025,0.57392901,0.037573401,3.0915499e-18
9,4.9000001,0.26683849,0.025,0.50342798,-0.047027402,6.4299201999999995e-18
10,9.439305,1.025,0.025,-0.210246,-0.41472599,9.47061e-18
11,6.9309559,2.806707,0.025,1.20652,-0.027932899,-6.0157198e-18
12,8.7464847,0.82499998,0.025,-0.65083301,-0.49193099,-1.48627e-20
13,2.675,1.1472976,0.025,1.2018,-0.0340949,1.4643299999999998e-18
14,7.3752777,4.25,0.025,0.093764901,-0.61524397,-5.264540099999999e-18
15,5.45,5.4629911,0.025,0.51048899,0.291834,-3.6627697999999994e-18
16,7.8372238,0.19978247,0.025,-0.96133,-0.071045503,-3.2083500999999996e-18
17,2.475,5.4774248,0.025,1.22578,0.43639299,8.7729504e-19
18,5.9749915,5.9064016,0.025,1.3492399,0.032720398,-4.6576501e-18
19,0.57499998,4.986677,0.025,1.6806,0.214599,-1.1145699999999998e-18
20,2.85,0.95965881,0.025,1.00607,-0.0609194,-5.876609800000001e-22
21,0.093153531,1.6762951,0.025,2.0018899,-0.0132529,-5.8239202e-19
22,3.55,0.23870492,0.025,0.550776,-0.00736702,-8.9994703e-18
23,2.35,2.0854904,0.025,1.3022799,0.309205,-9.4009201e-19
24,1.35,2.3164319,0.025,0.248898,-0.47494501,1.72548e-18
25,0.30000003,5.636196,0.025,-0.26679099,-0.45859799,2.1891399e-18
26,9.7857151,0.67500002,0.025,-0.0567092,-0.26311401,-7.219389999999999e-18
27,4.5,5.636196,0.025,0.110142,0.31353301,-4.941119999999999e-18
28,0.025617657,3.6500132,0.025,0.0201694,0.76737303,2.2648199e-18
29,9.052495,0.10357959,0.025,-0.37144801,-0.034470402,2.7522600000000002e-17
